rho,logF,log2n,n,m,delta,eta,feasible,t,achieved_bits,floor_bits,proof_size_bits,proof_size_kb,mca_bound,list_bound,note
1/2,128.0,24,16777216,1,0.4667787288135593,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.466779). No finite t helps.
1/2,128.0,24,16777216,1,0.47508379661016953,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.475084). No finite t helps.
1/2,128.0,24,16777216,1,0.4833888644067797,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.483389). No finite t helps.
1/2,128.0,24,16777216,1,0.49169393220338986,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.491694). No finite t helps.
1/2,128.0,24,16777216,1,0.499999,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.499999). No finite t helps.
1/2,256.0,20,1048576,1,0.01,0.2828932188134524,True,8828,128.002201268476,233.8189284064699,49719552.0,6069.28125,unique-decoding,interleave-listsize,ok
1/2,256.0,20,1048576,1,0.018305067796610168,0.27458815101684225,True,4803,128.0159302772039,233.78531012283352,27050752.0,3302.09375,unique-decoding,interleave-listsize,ok
1/2,256.0,20,1048576,1,0.02661013559322034,0.2662830832202321,True,3290,128.01502685354401,233.75043272143526,18529536.0,2261.90625,unique-decoding,interleave-listsize,ok
1/2,256.0,20,1048576,1,0.03491520338983051,0.2579780154236219,True,2497,128.02714630128258,233.71421332153824,14063360.0,1716.71875,unique-decoding,interleave-listsize,ok
1/2,256.0,20,1048576,1,0.04322027118644068,0.24967294762701175,True,2009,128.05621393730627,233.6765608410244,11314944.0,1381.21875,unique-decoding,interleave-listsize,ok
